No.,A/C REG,MSN,SELCAL,LIMITATION
1,PK-AXD,3182,FQGH,"APU INOP, PERFOMANCE PENALTY"
2,PK-AXE,3715,HLGR,SPECIAL REQIREMENT
3,PK-AXT,3486,FHGK,NIL
4,PK-AXU,3549,FJAG,NIL
5,PK-AXV,4889,CRBJ,NIL
6,PK-AXX,5215,KLAQ,NIL
7,PK-AXY,5359,DRCF,NIL
8,PK-AZA,5165,BCKP,NIL
9,PK-AZD,5627,BQPS,NIL
10,PK-AZE,5098,DPKR,APU INOP
11,PK-AZF,5706,DRES,APU INOP
12,PK-AZG,5657,JPHL,NIL
13,PK-AZH,5325,RSAF,NIL
14,PK-AZI,5200,DMJP,NIL
15,PK-AZJ,5153,DMJS,NIL
16,PK-AZK,4147,AGCJ,NIL
17,PK-AZL,3582,BMDS,NIL
18,PK-AZM,3140,AQBS,NIL
19,PK-AZN,5505,EHAD,NIL
20,PK-AZO,5846,CPDF,NIL
21,PK-AZS,3610,AQJS,NIL
22,PK-AZT,5914,DGJR,NIL
23,PK-AZU,3404,GQAM,NIL
24,PK-AZV,4704,CSGJ,NIL
25,PK-AZW,4668,ARCL,NIL
26,PK-AZX,4688,ARHQ,NIL
27,PK-AZY,4745,DFES,NIL
