ID,Waypoint,Latitude,Longitude
WADDYPPH10,WADD,S 08 44.8,E 115 10.2
WADDYPPH10,08S115E,S 08 44.9,E 115 09.2
WADDYPPH10,ASOTO,S 08 44.9,E 114 58.8
WADDYPPH10,SULUD,S 08 53.6,E 114 58.8
WADDYPPH10,SUNTU,S 08 53.8,E 115 17.0
WADDYPPH10,MAGIK,S 08 53.9,E 115 48.6
WADDYPPH10,KIGOP,S 09 39.3,E 115 50.2
WADDYPPH10,MURAI,S 10 36.4,E 115 40.8
WADDYPPH10,LIPRA,S 11 10.3,E 115 50.3
WADDYPPH10,EGATU,S 12 00.0,E 116 05.6
WADDYPPH10,VEDKI,S 14 47.7,E 116 19.2
WADDYPPH10,MAPTU,S 15 20.1,E 116 21.9
WADDYPPH10,OSOTO,S 18 07.3,E 116 35.9
WADDYPPH10,MUNNI,S 21 12.6,E 116 52.0
WADDYPPH10,GUTLI,S 24 06.6,E 116 47.8
WADDYPPH10,BANKS,S 25 01.2,E 116 46.5
WADDYPPH10,IGASO,S 26 38.3,E 116 44.1
WADDYPPH10,PALTI,S 27 51.1,E 116 42.2
WADDYPPH10,OTGOM,S 28 20.0,E 116 41.5
WADDYPPH10,TOPIR,S 29 11.0,E 116 40.1
WADDYPPH10,AVPAL,S 30 33.2,E 116 37.9
WADDYPPH10,HINDS,S 30 47.7,E 116 32.3
WADDYPPH10,CALIG,S 31 02.0,E 116 26.7
WADDYPPH10,JULIM,S 31 25.0,E 116 17.6
WADDYPPH10,YIREE,S 31 38.6,E 116 08.9
WADDYPPH10,WOORA,S 31 45.2,E 116 04.7
WADDYPPH10,HERNE,S 31 49.8,E 116 03.7
WADDYPPH10,GUNGN,S 31 58.2,E 116 08.0
WADDYPPH10,PUDUS,S 32 04.3,E 116 10.7
WADDYPPH10,TEREM,S 32 08.1,E 116 09.7
WADDYPPH10,MESAM,S 32 11.8,E 116 08.7
WADDYPPH10,WUNGO,S 32 11.9,E 116 01.7
WADDYPPH10,HARMN,S 32 10.2,E 115 53.9
WADDYPPH10,BIBRA,S 32 06.6,E 115 48.6
WADDYPPH10,LENNY,S 32 00.4,E 115 47.8
WADDYPPH10,YPPH,S 31 56.4,E 115 58.0
,,,
YPPHWADD10,YPPH,S 31 56.4,E 115 58.0
YPPHWADD10,IGLUT,S 21 56.5,E 115 34.5
YPPHWADD10,31S115E,S 31 57.5,E 115 57.5
YPPHWADD10,OPOSA,S 18 52.2,E 115 24.0
YPPHWADD10,AVBAD,S 32 01.7,E 115 56.4
YPPHWADD10,AUSGA,S 15 02.5,E 115 11.4
YPPHWADD10,TUVBA,S 32 00.8,E 115 49.2
YPPHWADD10,METUM,S 14 08.2,E 115 08.5
YPPHWADD10,ORCHY,S 31 59.7,E 115 40.9
YPPHWADD10,PUPIT,S 12 00.0,E 115 09.0
YPPHWADD10,BINOX,S 31 58.0,E 115 31.4
YPPHWADD10,GIWOT,S 11 15.7,E 115 09.2
YPPHWADD10,AVPES,S 31 55.0,E 115 24.6
YPPHWADD10,JALAK,S 10 40.6,E 115 09.3
